"Schaal";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";49;1177,42955476585;82,19;63,04;92,58
"Vlaanderen";"Versie 2.0";6510;"6510_hu; 6510_hus; 6510_huk";"Binnen";34;359,113807116246;75,17;58,28;86,77
"Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Buiten";15;818,315747649606;85,27;58,13;96,02
"Vlaanderen";"Versie 2.0";6510;"6510_hu";"Binnen & Buiten";30;1000,36851406523;90,1;72,06;96,98
"Vlaanderen";"Versie 2.0";6510;"6510_hua";"Binnen & Buiten";7;105,7;42,86;13,74;77,93
"Vlaanderen";"Versie 2.0";6510;"6510_huk";"Binnen & Buiten";6;53,3559790101188;26,51;5,33;69,82
"Vlaanderen";"Versie 2.0";6510;"6510_hus";"Binnen & Buiten";6;18,0050616905037;38,72;8,92;80,29
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";42;1109,23126806343;84,63;65,54;94,09
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hu; 6510_hus";"Binnen";28;311,61552041382;77,32;58,51;89,18
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua; 6510_hu; 6510_hus";"Buiten";14;797,615747649606;87,48;61,05;96,89
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hu";"Binnen & Buiten";29;985,526206372922;89,95;71,53;96,96
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua";"Binnen & Buiten";7;105,7;42,86;13,69;78
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hus";"Binnen & Buiten";6;18,0050616905037;38,72;8,88;80,37
"Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";49;1177,42955476585;8,2;3,49;18,08
"Vlaanderen";"Versie 3";6510;"6510_hu; 6510_hus; 6510_huk";"Binnen";34;359,113807116246;26,87;13,87;45,61
"Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Buiten";15;818,315747649606;0;0;0
"Vlaanderen";"Versie 3";6510;"6510_hu";"Binnen & Buiten";30;1000,36851406523;8,23;2,98;20,74
"Vlaanderen";"Versie 3";6510;"6510_hua";"Binnen & Buiten";7;105,7;0;0;0
"Vlaanderen";"Versie 3";6510;"6510_huk";"Binnen & Buiten";6;53,3559790101188;26,6;5,35;69,9
"Vlaanderen";"Versie 3";6510;"6510_hus";"Binnen & Buiten";6;18,0050616905037;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";42;1109,23126806343;7,42;2,91;17,64
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hu; 6510_hus";"Binnen";28;311,61552041382;26,42;12,55;47,32
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua; 6510_hu; 6510_hus";"Buiten";14;797,615747649606;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hu";"Binnen & Buiten";29;985,526206372922;8,35;3,03;20,98
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua";"Binnen & Buiten";7;105,7;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hus";"Binnen & Buiten";6;18,0050616905037;0;0;0
