"Scenario";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"Binnen & Buiten";52;2043,91431583212;32,8;21,31;46,81
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"Binnen & Buiten";52;2043,91431583212;33,89;22,21;47,93
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"Binnen & Buiten";37;731,878328850458;29,15;10,08;60,15
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"Binnen";35;547,883826158273;22,15;11,08;39,38
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"Binnen & Buiten";37;731,878328850458;24,58;7,29;57,48
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"Binnen";35;547,883826158273;16,04;7,01;32,64
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"Buiten";2;183,994502692185;50;NA;NA
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"Binnen & Buiten";31;1785,859044613;0;0;0
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"4010";"4010";"Binnen & Buiten";31;1785,859044613;31,54;17,6;49,85
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"Binnen & Buiten";37;4529,08558603927;51,18;30,66;71,3
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"Binnen";35;3778,29675092845;51,41;34,89;67,63
"Combinatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"Buiten";2;750,788835110827;50;NA;NA
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"Binnen & Buiten";37;4529,08558603927;45,97;26,34;66,93
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"Binnen";35;3778,29675092845;45,17;29,37;62
"Combinatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"Buiten";2;750,788835110827;50;NA;NA
