"Meetnet";"ID";"IDPlots";"Jaar";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"DatasetToestand";"PlotWeightToestand";"StratumWeightToestand";"WeightCombToestand";"DatasetTrend";"PlotWeightTrend";"StratumWeightTrend";"WeightCombTrend";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek";"Index";"Index_zb"
"PINK";"IV2017100113000012";"bd_13";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,679;1
"PINK";"IV2017100113000012";"bd_13";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
"PINK";"IV2017100113000075";"dh_08";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,381;0,9
"PINK";"IV2017100113000075";"dh_08";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,365;0,459
"PINK";"IV2017100113000077";"dh_09";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;1;80;0;0,527;-0,032
"PINK";"IV2017100113000077";"dh_09";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;1;50;0;0,372;-0,112
"PINK";"IV2017100113000095";"dp_01";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,575;1
"PINK";"IV2017100113000095";"dp_01";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113000100";"dp_09";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;5;5;0;100;1;0,642;1
"PINK";"IV2017100113000100";"dp_09";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
"PINK";"IV2017100113000226";"hb_01";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,554;0,9
"PINK";"IV2017100113000226";"hb_01";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;1;50;0;0,292;-0,032
"PINK";"IV2017100113000239";"hs_04";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,731;1
"PINK";"IV2017100113000239";"hs_04";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,7;1
"PINK";"IV2017100113000247";"hs_05";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,572;1
"PINK";"IV2017100113000247";"hs_05";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,596;1
"PINK";"IV2017100113000267";"hs_12";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,742;1
"PINK";"IV2017100113000267";"hs_12";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,65;1
"PINK";"IV2017100113000269";"hs_13";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,545;1
"PINK";"IV2017100113000269";"hs_13";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,322;1
"PINK";"IV2017100113000492";"ka_01";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,557;1
"PINK";"IV2017100113000492";"ka_01";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,35;1
"PINK";"IV2017100113000500";"kd_07";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;5;0;60;1;0,023;1
"PINK";"IV2017100113000500";"kd_07";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;2;4;0;50;0;0,204;1
"PINK";"IV2017100113000521";"nd_03";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,73;1
"PINK";"IV2017100113000521";"nd_03";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113000543";"nd_11";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;5;0;60;1;0,2;1
"PINK";"IV2017100113000543";"nd_11";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,5;1
"PINK";"IV2017100113000552";"nd_15";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;5;0;60;1;0,298;1
"PINK";"IV2017100113000552";"nd_15";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,331;1
"PINK";"IV2017100113000574";"oh_04";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;5;0;60;1;0,292;1
"PINK";"IV2017100113000574";"oh_04";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,126;1
"PINK";"IV2017100113000579";"oh_07";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,434;1
"PINK";"IV2017100113000579";"oh_07";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;2;4;0;50;0;0,269;1
"PINK";"IV2017100113000581";"oh_08";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,651;1
"PINK";"IV2017100113000581";"oh_08";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,595;1
"PINK";"IV2017100113000617";"pd_04";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,636;1
"PINK";"IV2017100113000617";"pd_04";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,415;0,459
"PINK";"IV2017100113000618";"sa_01";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,387;1
"PINK";"IV2017100113000618";"sa_01";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,5;1
"PINK";"IV2017100113000624";"sc_02";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,721;1
"PINK";"IV2017100113000624";"sc_02";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,7;1
"PINK";"IV2017100113000626";"sc_03";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,535;1
"PINK";"IV2017100113000626";"sc_03";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113000629";"sc_05";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;5;5;0;100;1;0,726;1
"PINK";"IV2017100113000629";"sc_05";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,575;1
"PINK";"IV2017100113000631";"sd_02";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;4;5;0;80;1;0,511;1
"PINK";"IV2017100113000631";"sd_02";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;2;4;0;50;0;0,394;1
"PINK";"IV2017100113000639";"sl_01";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;5;5;0;100;1;0,708;1
"PINK";"IV2017100113000639";"sl_01";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113000642";"ty_01";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,552;1
"PINK";"IV2017100113000642";"ty_01";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,292;1
"PINK";"IV2017100113000653";"ty_07";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,648;1
"PINK";"IV2017100113000653";"ty_07";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113000655";"ty_08";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,573;1
"PINK";"IV2017100113000655";"ty_08";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
"PINK";"IV2017100113000781";"wn_25";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,695;1
"PINK";"IV2017100113000781";"wn_25";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,7;1
"PINK";"IV2017100113000788";"wn_29";2008;2160;2160;"Versie 2.0";"Binnen";FALSE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;5;5;0;100;1;0,734;1
"PINK";"IV2017100113000788";"wn_29";2008;2160;2160;"Versie 3";"Binnen";FALSE;1;15,1268292682927;15,1268292682927;FALSE;1;19,38125;19,38125;3;4;0;75;1;0,65;1
"PINK";"IV2017100113001010";"wo_03";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,706;1
"PINK";"IV2017100113001010";"wo_03";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001059";"wz_04";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,687;1
"PINK";"IV2017100113001059";"wz_04";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001068";"wz_05";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,645;1
"PINK";"IV2017100113001068";"wz_05";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001122";"wz_18";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;5;5;0;100;1;0,729;1
"PINK";"IV2017100113001122";"wz_18";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
"PINK";"IV2017100113001135";"wz_21";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,545;1
"PINK";"IV2017100113001135";"wz_21";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001140";"wz_24";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,601;1
"PINK";"IV2017100113001140";"wz_24";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,467;1
"PINK";"IV2017100113001527";"zb_02";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,566;1
"PINK";"IV2017100113001527";"zb_02";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001535";"zw_01";2013;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;5;0;60;1;0,243;0,9
"PINK";"IV2017100113001535";"zw_01";2013;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;2;4;0;50;0;0,092;0,459
"PINK";"IV2017100113001543";"zw_05";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,548;1
"PINK";"IV2017100113001543";"zw_05";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,53;1
"PINK";"IV2017100113001561";"zw_15";2014;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,576;1
"PINK";"IV2017100113001561";"zw_15";2014;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
"PINK";"IV2017100113001563";"zw_16";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,489;1
"PINK";"IV2017100113001563";"zw_16";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,55;1
"PINK";"IV2017100113001581";"zw_27";2012;2160;2160;"Versie 2.0";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;4;5;0;80;1;0,576;1
"PINK";"IV2017100113001581";"zw_27";2012;2160;2160;"Versie 3";"Binnen";TRUE;1;15,1268292682927;15,1268292682927;TRUE;1;19,38125;19,38125;3;4;0;75;1;0,6;1
